iter	Passed	Remaining
204	33513	129967
205	33675	129796
206	33836	129623
207	33995	129444
208	34153	129261
209	34317	129098
210	34468	128887
211	34628	128712
212	34792	128551
213	34955	128388
214	35108	128188
215	35296	128113
216	35467	127975
217	35638	127840
218	35792	127642
219	35950	127461
220	36130	127354
221	36299	127212
222	36459	127036
223	36626	126886
224	36783	126697
225	36929	126476
226	37094	126318
227	37238	126086
228	37405	125938
229	37562	125754
230	37721	125576
231	37881	125400
232	38051	125260
233	38201	125052
234	38365	124891
235	38525	124717
236	38696	124580
237	38852	124393
238	39021	124247
239	39173	124050
240	39331	123869
241	39488	123686
242	39646	123508
243	39812	123353
244	39990	123235
245	40143	123041
246	40291	122832
247	40458	122681
248	40623	122522
249	40782	122348
250	40955	122214
251	41116	122044
252	41292	121918
253	41447	121731
254	41609	121565
255	41798	121477
256	41964	121322
257	42126	121154
258	42289	120991
259	42445	120806
260	42607	120640
261	42782	120510
262	42932	120309
263	43085	120118
264	43258	119980
265	43422	119820
266	43600	119698
267	43766	119540
268	43928	119374
269	44098	119229
270	44259	119060
271	44410	118863
272	44589	118742
273	44745	118559
274	44895	118360
275	45078	118248
276	45247	118100
277	45412	117941
278	45579	117786
279	45728	117586
280	45901	117448
281	46056	117263
282	46205	117064
283	46354	116864
284	46502	116663
285	46665	116501
286	46828	116337
287	47019	116242
288	47180	116074
289	47341	115905
290	47510	115754
291	47687	115625
292	47870	115510
293	48042	115366
294	48221	115242
295	48394	115101
296	48564	114953
297	48736	114809
298	48906	114660
299	49067	114489
300	49232	114330
301	49422	114228
302	49618	114138
303	49773	113955
304	49937	113791
305	50117	113664
306	50281	113502
307	50464	113381
308	50633	113228
309	50818	113111
310	51001	112991
311	51164	112823
312	51349	112706
313	51504	112523
314	51668	112357
315	51817	112162
316	51987	112010
317	52138	111818
318	52294	111637
319	52481	111522
320	52638	111345
321	52792	111159
322	52952	110987
323	53105	110801
324	53262	110622
325	53434	110475
326	53608	110332
327	53770	110163
328	53928	109988
329	54079	109798
330	54262	109672
331	54422	109500
332	54593	109351
333	54764	109200
334	54923	109026
335	55086	108861
336	55236	108670
337	55398	108503
338	55561	108336
339	55719	108161
340	55873	107977
341	56034	107809
342	56201	107651
343	56353	107464
344	56510	107288
345	56671	107118
346	56830	106946
347	57017	106825
348	57174	106649
349	57322	106455
350	57478	106277
351	57665	106157
352	57820	105977
353	57999	105840
354	58155	105663
355	58311	105484
356	58471	105314
357	58651	105180
358	58800	104989
359	58964	104826
360	59108	104626
361	59270	104459
362	59456	104335
363	59616	104165
364	59789	104016
365	59970	103882
366	60123	103700
367	60275	103516
368	60430	103338
369	60592	103170
370	60749	102996
371	60901	102812
372	61063	102645
373	61247	102516
374	61408	102348
375	61577	102193
376	61747	102038
377	61910	101873
378	62085	101728
379	62273	101603
380	62441	101447
381	62607	101286
382	62793	101158
383	62955	100991
384	63116	100821
385	63260	100626
386	63422	100459
387	63578	100283
388	63732	100104
389	63897	99942
390	64060	99777
391	64230	99622
392	64392	99456
393	64561	99300
394	64731	99145
395	64883	98963
396	65031	98776
397	65191	98605
398	65347	98430
399	65530	98296
400	65681	98112
401	65838	97938
402	66013	97791
403	66163	97607
404	66334	97454
405	66491	97281
406	66659	97123
407	66833	96974
408	67003	96819
409	67159	96644
410	67312	96464
411	67462	96281
412	67643	96141
413	67810	95983
414	67990	95841
415	68157	95682
416	68311	95504
417	68480	95348
418	68637	95175
419	68806	95018
420	68981	94869
421	69140	94699
422	69296	94524
423	69450	94347
424	69599	94164
425	69757	93993
426	69915	93821
427	70081	93660
428	70234	93482
429	70405	93328
430	70567	93161
431	70728	92995
432	70888	92826
433	71038	92644
434	71192	92468
435	71367	92319
436	71572	92208
437	71758	92073
438	71951	91946
439	72110	91777
440	72262	91598
441	72414	91418
442	72569	91244
443	72729	91076
444	72879	90894
445	73038	90725
446	73198	90556
447	73345	90372
448	73494	90189
449	73645	90011
450	73804	89842
451	73961	89669
452	74117	89497
453	74274	89325
454	74446	89172
455	74612	89011
456	74760	88828
457	74913	88653
458	75071	88483
459	75230	88314
460	75383	88138
461	75539	87966
462	75713	87815
463	75870	87643
464	76024	87468
465	76178	87294
466	76345	87135
467	76505	86967
468	76697	86836
469	76858	86670
470	77031	86517
471	77192	86350
472	77352	86183
473	77521	86025
474	77684	85861
475	77884	85738
476	78076	85606
477	78248	85450
478	78417	85293
479	78590	85139
480	78766	84989
481	78925	84820
482	79108	84677
483	79270	84511
484	79450	84364
485	79631	84219
486	79812	84073
487	79982	83916
488	80164	83770
489	80355	83634
490	80529	83481
491	80702	83327
492	80864	83161
493	81033	83001
494	81181	82821
495	81343	82655
496	81494	82478
497	81669	82325
498	81818	82146
499	81996	81996
500	82162	81834
501	82320	81664
502	82480	81496
503	82637	81326
504	82813	81173
505	82972	81005
506	83118	80823
507	83291	80667
508	83442	80492
509	83614	80335
510	83768	80161
511	83916	79983
512	84065	79805
513	84212	79625
514	84384	79468
515	84535	79292
516	84696	79126
517	84862	78964
518	85029	78804
519	85182	78630
520	85350	78470
521	85531	78322
522	85691	78154
523	85851	77987
524	86022	77830
525	86199	77678
526	86345	77498
527	86494	77320
528	86665	77163
529	86834	77003
530	86992	76835
531	87154	76669
532	87313	76501
533	87467	76329
534	87642	76175
535	87808	76012
536	87971	75849
537	88125	75676
538	88283	75507
539	88425	75325
540	88581	75155
541	88745	74991
542	88903	74823
543	89063	74655
544	89230	74494
545	89383	74322
546	89558	74168
547	89710	73995
548	89861	73820
549	90006	73641
550	90157	73467
551	90305	73291
552	90466	73125
553	90622	72955
554	90791	72796
555	90969	72645
556	91122	72472
557	91278	72302
558	91432	72131
559	91602	71973
560	91762	71806
561	91918	71637
562	92067	71462
563	92218	71289
564	92401	71140
565	92546	70962
566	92702	70794
567	92878	70639
568	93031	70468
569	93190	70301
570	93338	70126
571	93507	69967
572	93661	69796
573	93828	69635
574	93982	69465
575	94140	69297
576	94299	69130
577	94449	68958
578	94621	68800
579	94784	68636
580	94931	68461
581	95092	68296
582	95258	68135
583	95414	67966
584	95584	67807
585	95768	67658
586	95928	67493
587	96073	67316
588	96234	67151
589	96390	66983
590	96547	66815
591	96708	66650
592	96854	66475
593	97014	66309
594	97185	66151
595	97348	65988
596	97490	65810
597	97644	65640
598	97828	65491
599	98002	65335
600	98153	65163
601	98307	64993
602	98447	64815
603	98614	64654
604	98783	64495
605	98951	64334
606	99118	64173
607	99265	64000
608	99437	63842
609	99599	63678
610	99761	63514
611	99925	63351
612	100073	63178
613	100225	63007
614	100376	62837
615	100530	62668
616	100712	62516
617	100862	62345
618	101019	62178
619	101211	62032
620	101379	61872
621	101567	61724
622	101721	61555
623	101887	61393
624	102077	61246
625	102252	61090
626	102432	60936
627	102608	60780
628	102809	60639
629	103008	60496
630	103183	60340
631	103346	60176
632	103527	60023
633	103728	59881
634	103904	59724
635	104083	59569
636	104245	59405
637	104414	59244
638	104574	59078
639	104754	58924
640	104939	58772
641	105145	58632
642	105324	58477
643	105495	58317
644	105677	58163
645	105837	57997
646	106031	57850
647	106218	57698
648	106429	57560
649	106608	57404
650	106814	57263
651	106978	57098
652	107178	56954
653	107376	56807
654	107571	56659
655	107776	56517
656	107941	56353
657	108124	56198
658	108313	56046
659	108514	55901
660	108676	55735
661	108864	55583
662	109047	55428
663	109222	55269
664	109414	55118
665	109606	54967
666	109800	54817
667	109991	54666
668	110176	54511
669	110365	54359
670	110560	54209
671	110719	54041
672	110892	53881
673	111107	53740
674	111297	53587
675	111480	53431
676	111658	53273
677	111844	53117
678	112013	52954
679	112213	52806
680	112363	52634
681	112545	52477
682	112752	52331
683	112925	52170
684	113136	52026
685	113302	51861
686	113507	51714
687	113663	51545
688	113838	51384
689	114032	51232
690	114219	51076
691	114393	50915
692	114571	50755
693	114767	50603
694	114966	50453
695	115150	50295
696	115325	50134
697	115486	49967
698	115643	49797
699	115836	49644
700	116017	49485
701	116205	49329
702	116364	49161
703	116533	48997
704	116734	48846
705	116913	48686
706	117088	48524
707	117286	48372
708	117462	48211
709	117632	48046
710	117828	47893
711	118008	47733
712	118182	47571
713	118344	47404
714	118520	47242
715	118679	47074
716	118879	46921
717	119070	46765
718	119226	46596
719	119415	46439
720	119584	46274
721	119813	46133
722	119981	45968
723	120159	45806
724	120318	45638
725	120518	45485
726	120685	45319
727	120856	45155
728	121055	45001
729	121227	44837
730	121389	44669
731	121583	44514
732	121772	44356
733	121933	44188
734	122114	44027
735	122294	43866
736	122471	43704
737	122661	43546
738	122848	43387
739	123019	43223
740	123218	43068
741	123397	42906
742	123548	42734
743	123719	42570
744	123925	42417
745	124091	42250
746	124259	42085
747	124422	41917
748	124608	41757
749	124809	41603
750	124989	41441
751	125146	41271
752	125306	41103
753	125503	40946
754	125682	40784
755	125859	40621
756	126021	40453
757	126170	40281
758	126366	40124
759	126554	39964
760	126721	39798
761	126885	39630
762	127046	39462
763	127215	39296
764	127412	39139
765	127597	38978
766	127765	38812
767	127962	38655
768	128163	38499
769	128333	38333
770	128507	38168
771	128668	38000
772	128862	37841
773	129047	37680
774	129233	37519
775	129400	37352
776	129585	37191
777	129780	37032
778	129983	36875
779	130180	36717
780	130364	36555
781	130562	36397
782	130714	36225
783	130894	36062
784	131055	35894
785	131218	35726
786	131416	35567
787	131597	35404
788	131802	35247
789	131981	35083
790	132144	34915
791	132317	34750
792	132510	34589
793	132697	34427
794	132867	34261
795	133061	34101
796	133242	33937
797	133407	33769
798	133611	33612
799	133805	33451
800	134014	33294
801	134208	33133
802	134389	32969
803	134581	32808
804	134769	32645
805	134942	32479
806	135112	32313
807	135283	32146
808	135494	31989
809	135691	31828
810	135880	31666
811	136033	31495
812	136219	31332
813	136404	31168
814	136595	31006
815	136817	30850
816	137004	30687
817	137197	30525
818	137366	30358
819	137525	30188
820	137696	30021
821	137877	29856
822	138066	29693
823	138257	29530
824	138453	29369
825	138660	29209
826	138862	29048
827	139020	28878
828	139218	28716
829	139400	28551
830	139603	28390
831	139791	28227
832	139998	28066
833	140182	27901
834	140368	27737
835	140555	27573
836	140765	27413
837	140956	27249
838	141132	27082
839	141317	26917
840	141520	26755
841	141718	26593
842	141893	26426
843	142084	26261
844	142254	26094
845	142407	25922
846	142583	25755
847	142747	25586
848	142933	25421
849	143111	25255
850	143303	25090
851	143521	24931
852	143691	24762
853	143865	24595
854	144056	24430
855	144229	24262
856	144379	24091
857	144559	23924
858	144752	23760
859	144946	23595
860	145119	23428
861	145293	23260
862	145503	23098
863	145678	22930
864	145837	22760
865	146016	22593
866	146218	22430
867	146386	22261
868	146594	22098
869	146761	21929
870	146976	21768
871	147118	21595
872	147274	21424
873	147476	21260
874	147655	21093
875	147856	20929
876	148030	20761
877	148225	20596
878	148398	20428
879	148577	20260
880	148752	20092
881	148946	19927
882	149116	19758
883	149284	19589
884	149456	19420
885	149645	19254
886	149846	19089
887	150033	18923
888	150242	18759
889	150428	18592
890	150616	18425
891	150817	18260
892	150994	18092
893	151153	17922
894	151346	17755
895	151523	17587
896	151674	17416
897	151882	17251
898	152056	17083
899	152248	16916
900	152418	16747
901	152599	16579
902	152766	16410
903	152931	16240
904	153105	16071
905	153284	15903
906	153495	15738
907	153690	15572
908	153883	15405
909	154043	15235
910	154248	15069
911	154417	14899
912	154603	14732
913	154774	14562
914	154966	14395
915	155145	14227
916	155321	14058
917	155496	13889
918	155696	13722
919	155864	13553
920	156046	13385
921	156232	13217
922	156442	13051
923	156625	12882
924	156785	12712
925	156973	12544
926	157169	12376
927	157347	12207
928	157541	12040
929	157686	11868
930	157889	11701
931	158081	11533
932	158258	11364
933	158418	11194
934	158602	11025
935	158798	10858
936	158947	10686
937	159152	10519
938	159352	10351
939	159547	10183
940	159711	10013
941	159896	9844
942	160088	9676
943	160268	9507
944	160474	9339
945	160686	9172
946	160866	9003
947	161066	8834
948	161252	8665
949	161452	8497
950	161628	8327
951	161781	8157
952	161947	7986
953	162104	7816
954	162265	7646
955	162424	7475
956	162611	7306
957	162798	7137
958	162993	6968
959	163201	6800
960	163348	6629
961	163534	6459
962	163718	6290
963	163914	6121
964	164119	5952
965	164280	5782
966	164463	5612
967	164621	5442
968	164812	5272
969	164970	5102
970	165156	4932
971	165325	4762
972	165523	4593
973	165696	4423
974	165916	4254
975	166113	4084
976	166294	3914
977	166473	3744
978	166635	3574
979	166850	3405
980	167048	3235
981	167205	3064
982	167387	2894
983	167592	2725
984	167772	2554
985	167954	2384
986	168157	2214
987	168360	2044
988	168560	1874
989	168756	1704
990	168960	1534
991	169117	1363
992	169298	1193
993	169468	1022
994	169643	852
995	169841	682
996	170029	511
997	170208	341
998	170400	170
999	170585	0
